Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_633bba3a-d7f8-46a0-aea0-65ff6811b5a9,0.0209,0.0331,0.0448,0.3527,0.0366,0.0209,0.0331,0.0448,0.3527,0.9067,0.887
node2vec_mrr_87f87618-b9fb-4389-b93b-b06346551e96,0.0354,0.0369,0.0497,0.3249,0.0461,0.0354,0.0369,0.0497,0.3249,0.9045,0.8816
node2vec_mrr_5ed57dcf-ca7a-4deb-8fdc-b244393ac935,0.0262,0.0306,0.0433,0.3769,0.0387,0.0262,0.0306,0.0433,0.3769,0.9067,0.8872
node2vec_mrr_63212ec0-acba-4a98-a6da-69b0d149a9d7,0.0222,0.0328,0.0537,0.3733,0.0413,0.0222,0.0328,0.0537,0.3733,0.9097,0.8945
node2vec_mrr_55c9ec1b-1cfb-42a0-b32c-3a07ff60775b,0.0323,0.0382,0.0975,0.4635,0.0612,0.0323,0.0382,0.0975,0.4635,0.9311,0.9228
node2vec_mrr_713fcf63-857b-4504-9a5b-a243fd79e9e4,0.0244,0.0357,0.0716,0.3845,0.0452,0.0244,0.0357,0.0716,0.3845,0.9087,0.8945
node2vec_mrr_96401c8e-d180-405c-9705-929ad1ef91ac,0.2338,0.2766,0.4544,0.7193,0.2898,0.2338,0.2766,0.4544,0.7193,0.8014,0.8796
node2vec_mrr_f93b03e3-952d-425d-90eb-2726edbdbe2f,0.1318,0.2432,0.3615,0.7423,0.219,0.1318,0.2432,0.3615,0.7423,0.8446,0.9003
node2vec_mrr_6a0bb220-1b61-4542-99df-ac4959332da0,0.1191,0.1895,0.3439,0.7202,0.1944,0.1191,0.1895,0.3439,0.7202,0.8104,0.8821
node2vec_mrr_59d4f149-7207-4b76-8db3-479e8350d1f8,0.1214,0.1327,0.4061,0.7523,0.1942,0.1214,0.1327,0.4061,0.7523,0.8296,0.8945
node2vec_mrr_6c918fa6-6200-4359-8280-84a743344f4b,0.1769,0.2965,0.3989,0.7256,0.2484,0.1769,0.2965,0.3989,0.7256,0.8365,0.8965
node2vec_mrr_d61578a2-8fee-4b8a-a7a1-e72d2a94790f,0.2599,0.3263,0.4689,0.7342,0.3194,0.2599,0.3263,0.4689,0.7342,0.8123,0.8872
node2vec_mrr_cb04a454-2e2d-40dd-a0c4-86f7fa4c71ae,0.1968,0.2875,0.4422,0.7144,0.2788,0.1968,0.2875,0.4422,0.7144,0.8525,0.9026
node2vec_mrr_c1863a90-0d6f-4bd3-92c4-b1c378487e7a,0.1367,0.2216,0.4201,0.7211,0.2249,0.1367,0.2216,0.4201,0.7211,0.8128,0.8843
node2vec_mrr_57e49061-1f15-4588-98b3-0b80747f996f,0.2252,0.278,0.3971,0.7184,0.2822,0.2252,0.278,0.3971,0.7184,0.8338,0.8952
node2vec_mrr_0b06880a-46e0-48a5-b10c-4e1265ca18ff,0.1268,0.3488,0.4576,0.7347,0.2646,0.1268,0.3488,0.4576,0.7347,0.8541,0.9057
node2vec_mrr_c0058b39-1d32-4274-a117-a3e1fea9410e,0.1169,0.1444,0.4282,0.7062,0.1812,0.1169,0.1444,0.4282,0.7062,0.8132,0.8829
node2vec_mrr_3548be8b-82f4-4a89-9474-d229782f7d34,0.1345,0.3177,0.4255,0.7279,0.2537,0.1345,0.3177,0.4255,0.7279,0.8055,0.8823
