Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,1,0.1,dot,2000,0.9749963283538818,1.0138778686523438,4865
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,2,0.1,inner,2000,0.9861171245574952,1.0459277629852295,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,2,0.1,inner,2000,1.0258734226226809,1.0473084449768066,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,2,0.1,dot,2000,1.3294649124145508,1.352034330368042,6001
Tune,10.75,23.63,43.97,72.11,88.95,95.89,25.03,10.75,23.63,43.97,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,2,0.1,dot,2000,1.2616989612579346,1.276160717010498,6001
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,3,0.1,inner,2000,0.9188909530639648,0.9348433017730712,4848
Tune,10.75,23.63,43.97,72.11,88.95,95.89,25.03,10.75,23.63,43.97,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,3,0.1,inner,2000,1.1126909255981443,1.1402978897094729,4848
Tune,0.0,27.74,51.42,70.79,82.3,91.63,13.56,0.0,27.74,52.28,59.33,82.3,91.63,98.19,98.03,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,3,0.1,dot,2000,1.1996464729309082,1.2137963771820068,10161
Tune,10.75,23.63,43.97,72.11,88.95,95.89,25.03,10.75,23.63,43.97,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,3,2,64.0,1,3,0.1,dot,2000,1.0657117366790771,1.0840778350830078,10161
Tune,0.0,27.74,51.42,70.79,82.3,91.63,13.56,0.0,27.74,52.28,59.33,82.3,91.63,98.19,98.03,100.0,16,32,4,0.1,0,1,0.015,3,2,32.0,1,1,0.1,inner,2000,1.00468111038208,1.035797357559204,4848
Tune,10.75,23.63,43.97,72.11,88.95,95.89,25.03,10.75,23.63,43.97,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,3,2,32.0,1,1,0.1,inner,2000,1.006242752075195,1.0488741397857666,4848
Tune,0.0,27.74,51.42,70.79,82.3,91.63,13.56,0.0,27.74,52.28,59.33,82.3,91.63,98.19,98.03,100.0,16,32,4,0.1,0,1,0.015,3,2,32.0,1,1,0.1,dot,2000,1.1569011211395264,1.186880350112915,4865
