Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs
cora_runvyand7t9_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,64,8,0.1,0.1,7,10000
cora_run4u96womh_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,64,8,0.2,0.1,7,10000
cora_run1cs3p7fr_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,64,8,0.2,0.0,5,10000
cora_runc2ueu2hk_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.1,0.0,5,10000
cora_runhgww2id6_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,64,8,0.2,0.0,6,10000
cora_runk50bdqys_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.1,0.0,6,10000
cora_runvn9d6llv_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,64,8,0.2,0.0,7,10000
cora_runvik45cu7_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.1,0.0,7,10000
cora_run63gfhlf8_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,64,8,0.2,0.1,5,10000
cora_runy6u1qql6_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.1,0.1,5,10000
cora_rundskp57e3_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,64,8,0.2,0.1,6,10000
cora_run4zz4ohlt_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.1,0.1,6,10000
cora_runrxiz09e8_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,64,8,0.2,0.1,7,10000
cora_runpn5gxvkh_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.1,0.1,7,10000
cora_rung42q9orj_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,128,4,0.1,0.0,5,10000
cora_runqg2xo4of_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.2,0.0,5,10000
cora_run2p7j8jhe_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,128,4,0.1,0.0,6,10000
cora_runymhmevj2_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.2,0.0,6,10000
cora_runkgn6cjw8_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,128,4,0.1,0.0,7,10000
cora_rungghmawse_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.2,0.0,7,10000
cora_runjrt3btcs_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,128,4,0.1,0.1,5,10000
cora_run9pl3tdbd_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.2,0.1,5,10000
cora_runtmvm9c1l_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,128,4,0.1,0.1,6,10000
cora_run6xnz7m82_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.2,0.1,6,10000
cora_rung17tz3as_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,128,4,0.1,0.1,7,10000
cora_runfnfcskr3_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,4,0.2,0.1,7,10000
cora_runvsbgd6td_GAT,73.25,80.44,88.01,90.04,91.33,92.44,78.94,73.25,80.44,88.01,90.04,91.33,92.44,96.83,97.57,83.58,0.01,1024,32,128,4,0.2,0.0,5,10000
cora_runwmr17jzo_GAT,73.06,80.44,88.01,90.04,91.33,92.07,78.85,73.06,80.44,88.01,90.04,91.33,92.07,96.83,97.56,83.67,0.01,1024,32,128,2,0.1,0.0,5,10000
