Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,base_lr,batch_size,epochs
cora_runjish3uxr_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,64,64,0.015,1024,10000
cora_run1p0x33or_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,256,32,0.015,1024,10000
cora_run2t1hc587_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,64,128,0.015,1024,10000
cora_run0dcuc4f3_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,256,64,0.015,1024,10000
cora_rungc0o8rh0_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,64,256,0.015,1024,10000
cora_runzkltuias_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,256,128,0.015,1024,10000
cora_run1hpdl18g_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,128,32,0.015,1024,10000
cora_runjseq9qs6_GAE,92.44,94.46,97.23,97.23,97.79,99.08,93.5,92.44,94.46,97.23,97.23,97.79,99.08,99.41,99.34,96.31,256,256,0.015,1024,10000
cora_run01e43dq2_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,128,64,0.015,1024,10000
cora_runtmu9gbhh_GAE,92.44,94.46,97.23,97.23,97.79,99.08,93.5,92.44,94.46,97.23,97.23,97.79,99.08,99.41,99.34,96.31,32,32,0.015,4096,10000
cora_runz80llcih_GAE,92.44,94.46,97.23,97.23,97.79,99.08,93.5,92.44,94.46,97.23,97.23,97.79,99.08,99.41,99.34,96.31,32,64,0.015,4096,10000
cora_run45go7eld_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,128,128,0.015,1024,10000
cora_runq8hu3few_GAE,92.44,94.46,97.23,97.23,97.79,99.08,93.5,92.44,94.46,97.23,97.23,97.79,99.08,99.41,99.34,96.31,32,128,0.015,4096,10000
cora_run6ysva65r_GAE,92.44,94.46,97.23,97.23,97.79,99.08,93.5,92.44,94.46,97.23,97.23,97.79,99.08,99.41,99.34,96.31,32,256,0.015,4096,10000
cora_run82q486in_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,128,256,0.015,1024,10000
cora_run3nni6gee_GAE,92.44,94.46,97.23,97.23,97.79,99.08,93.5,92.44,94.46,97.23,97.23,97.79,99.08,99.41,99.34,96.31,64,32,0.015,4096,10000
cora_run6szk5por_GAE,92.44,94.46,97.23,97.23,97.79,99.08,93.5,92.44,94.46,97.23,97.23,97.79,99.08,99.41,99.34,96.31,64,64,0.015,4096,10000
